year,1,2,3,4,5,6,7,8,9,10,11,12
2010,528.0,425.0,831.0,912.0,1066.0,1161.0,1289.0,1321.0,1040.0,875.0,651.0,435.0
2011,459.0,563.0,825.0,977.0,1126.0,1250.0,1041.0,1131.0,1084.0,835.0,595.0,568.0
2012,669.0,589.0,791.0,798.0,1142.0,1076.0,1177.0,1269.0,1024.0,899.0,568.0,640.0
2013,729.0,640.0,838.0,1001.0,1159.0,1137.0,1217.0,1105.0,981.0,855.0,569.0,508.0
2014,521.0,541.0,782.0,990.0,1236.0,1411.0,1397.0,1415.0,1304.0,1417.0,856.0,747.0
2015,728.0,608.0,1002.0,1247.0,1497.0,1550.0,1907.0,1550.0,1613.0,1501.0,1089.0,994.0
2016,944.0,1044.0,1261.0,1284.0,1813.0,1840.0,1769.0,1854.0,1775.0,1524.0,1121.0,1001.0
2017,1158.0,1494.0,1406.0,1688.0,1739.0,1882.0,2199.0,2011.0,1711.0,1756.0,1169.0,939.0
2018,965.0,1058.0,1087.0,1394.0,1889.0,1869.0,1827.0,1910.0,1690.0,1688.0,1050.0,923.0
2019,1020.0,956.0,1126.0,1510.0,1862.0,1822.0,1822.0,1861.0,1640.0,1405.0,980.0,800.0
2020,1066.0,1031.0,968.0,949.0,1667.0,1661.0,1788.0,1834.0,1672.0,1552.0,1108.0,966.0
2021,1250.0,962.0,1832.0,2101.0,2320.0,2638.0,2676.0,2521.0,2301.0,2698.0,1980.0,1733.0
2022,1573.0,1574.0,2162.0,2162.0,2767.0,3019.0,2971.0,2889.0,2438.0,1988.0,1616.0,1339.0
2023,1937.0,1707.0,1893.0,2225.0,2350.0,2378.0,2732.0,2880.0,2392.0,1982.0,1553.0,1417.0
2024,1741.0,1729.0,1833.0,2103.0,2733.0,2439.0,,,,,,
