,Incident Zip,Sightings,City,Borough,Population
0,10001,114,NEW YORK,MANHATTAN,27004.0
1,10002,177,NEW YORK,MANHATTAN,76518.0
2,10003,221,NEW YORK,MANHATTAN,53877.0
3,10004,14,NEW YORK,MANHATTAN,4579.0
4,10005,11,NEW YORK,MANHATTAN,8801.0
5,10006,18,NEW YORK,MANHATTAN,3736.0
6,10007,16,NEW YORK,MANHATTAN,7506.0
7,10009,269,NEW YORK,MANHATTAN,58418.0
8,10010,69,NEW YORK,MANHATTAN,32410.0
9,10011,187,NEW YORK,MANHATTAN,50772.0
10,10012,110,NEW YORK,MANHATTAN,21216.0
11,10013,93,NEW YORK,MANHATTAN,29453.0
12,10014,212,NEW YORK,MANHATTAN,29461.0
13,10016,112,NEW YORK,MANHATTAN,54369.0
14,10017,23,NEW YORK,MANHATTAN,14486.0
15,10018,27,NEW YORK,MANHATTAN,8659.0
16,10019,125,NEW YORK,MANHATTAN,42766.0
17,10021,180,NEW YORK,MANHATTAN,40642.0
18,10022,38,NEW YORK,MANHATTAN,33586.0
19,10023,204,NEW YORK,MANHATTAN,65706.0
20,10024,511,NEW YORK,MANHATTAN,62774.0
21,10025,995,NEW YORK,MANHATTAN,96988.0
22,10026,506,NEW YORK,MANHATTAN,38265.0
23,10027,512,NEW YORK,MANHATTAN,65806.0
24,10028,221,NEW YORK,MANHATTAN,45717.0
25,10029,327,NEW YORK,MANHATTAN,75614.0
26,10030,222,NEW YORK,MANHATTAN,31268.0
27,10031,350,NEW YORK,MANHATTAN,61044.0
28,10032,152,NEW YORK,MANHATTAN,60480.0
29,10033,199,NEW YORK,MANHATTAN,58711.0
30,10034,183,NEW YORK,MANHATTAN,41570.0
31,10035,144,NEW YORK,MANHATTAN,38595.0
32,10036,122,NEW YORK,MANHATTAN,30930.0
33,10037,77,NEW YORK,MANHATTAN,19138.0
34,10038,63,MANHATTAN,MANHATTAN,23343.0
35,10039,125,NEW YORK,MANHATTAN,29887.0
36,10040,157,NEW YORK,MANHATTAN,43653.0
38,10044,1,NEW YORK,MANHATTAN,11846.0
39,10065,50,NEW YORK,MANHATTAN,30859.0
40,10069,6,NEW YORK,MANHATTAN,6259.0
41,10075,105,NEW YORK,MANHATTAN,23920.0
42,10128,202,NEW YORK,MANHATTAN,56695.0
43,10162,2,NEW YORK,MANHATTAN,1523.0
44,10301,77,STATEN ISLAND,STATEN ISLAND,40331.0
45,10302,35,STATEN ISLAND,STATEN ISLAND,18567.0
46,10303,51,STATEN ISLAND,STATEN ISLAND,27083.0
47,10304,70,STATEN ISLAND,STATEN ISLAND,44864.0
48,10305,78,STATEN ISLAND,STATEN ISLAND,42211.0
49,10306,70,STATEN ISLAND,STATEN ISLAND,56232.0
50,10307,3,STATEN ISLAND,STATEN ISLAND,14755.0
51,10308,75,STATEN ISLAND,STATEN ISLAND,30075.0
52,10309,15,STATEN ISLAND,STATEN ISLAND,34740.0
53,10310,67,STATEN ISLAND,STATEN ISLAND,26239.0
54,10312,97,STATEN ISLAND,STATEN ISLAND,63473.0
55,10314,62,STATEN ISLAND,STATEN ISLAND,94355.0
56,10451,194,BRONX,BRONX,51311.0
57,10452,276,BRONX,BRONX,78624.0
58,10453,215,BRONX,BRONX,80385.0
59,10454,158,BRONX,BRONX,41073.0
60,10455,159,BRONX,BRONX,44380.0
61,10456,310,BRONX,BRONX,88575.0
62,10457,247,BRONX,BRONX,79817.0
63,10458,283,BRONX,BRONX,82678.0
64,10459,191,BRONX,BRONX,51964.0
65,10460,181,BRONX,BRONX,59852.0
66,10461,59,BRONX,BRONX,50868.0
67,10462,187,BRONX,BRONX,77230.0
68,10463,282,BRONX,BRONX,70296.0
69,10464,20,BRONX,BRONX,4292.0
70,10465,41,BRONX,BRONX,46311.0
71,10466,95,BRONX,BRONX,72273.0
72,10467,312,BRONX,BRONX,98713.0
73,10468,243,BRONX,BRONX,81397.0
74,10469,93,BRONX,BRONX,71862.0
75,10470,85,BRONX,BRONX,15390.0
76,10471,80,BRONX,BRONX,22888.0
77,10472,267,BRONX,BRONX,65283.0
78,10473,60,BRONX,BRONX,60087.0
79,10474,79,BRONX,BRONX,11280.0
80,10475,10,BRONX,BRONX,43517.0
81,11001,5,FLORAL PARK,QUEENS,26138.0
82,11004,9,GLEN OAKS,QUEENS,15702.0
83,11101,139,LONG ISLAND CITY,QUEENS,34279.0
84,11102,157,ASTORIA,QUEENS,27069.0
85,11103,159,ASTORIA,QUEENS,34752.0
86,11104,125,SUNNYSIDE,QUEENS,26939.0
87,11105,257,ASTORIA,QUEENS,38756.0
88,11106,90,ASTORIA,QUEENS,40198.0
89,11109,1,LONG ISLAND CITY,QUEENS,7280.0
90,11201,260,BROOKLYN,BROOKLYN,69755.0
91,11203,228,BROOKLYN,BROOKLYN,78506.0
92,11204,102,BROOKLYN,BROOKLYN,80575.0
93,11205,244,BROOKLYN,BROOKLYN,50319.0
94,11206,334,BROOKLYN,BROOKLYN,89949.0
95,11207,389,BROOKLYN,BROOKLYN,96801.0
96,11208,246,BROOKLYN,BROOKLYN,108180.0
97,11209,241,BROOKLYN,BROOKLYN,71812.0
98,11210,70,BROOKLYN,BROOKLYN,63426.0
99,11211,408,BROOKLYN,BROOKLYN,65511.0
100,11212,165,BROOKLYN,BROOKLYN,84006.0
101,11213,384,BROOKLYN,BROOKLYN,69131.0
102,11214,96,BROOKLYN,BROOKLYN,90796.0
103,11215,422,BROOKLYN,BROOKLYN,72014.0
104,11216,674,BROOKLYN,BROOKLYN,62373.0
105,11217,239,BROOKLYN,BROOKLYN,43045.0
106,11218,315,BROOKLYN,BROOKLYN,73318.0
107,11219,156,BROOKLYN,BROOKLYN,92283.0
108,11220,327,BROOKLYN,BROOKLYN,93008.0
109,11221,624,BROOKLYN,BROOKLYN,91236.0
110,11222,282,BROOKLYN,BROOKLYN,40137.0
111,11223,77,BROOKLYN,BROOKLYN,80113.0
112,11224,61,BROOKLYN,BROOKLYN,47893.0
113,11225,364,BROOKLYN,BROOKLYN,58476.0
114,11226,627,BROOKLYN,BROOKLYN,101053.0
115,11228,90,BROOKLYN,BROOKLYN,44196.0
116,11229,60,BROOKLYN,BROOKLYN,81109.0
117,11230,158,BROOKLYN,BROOKLYN,90245.0
118,11231,193,BROOKLYN,BROOKLYN,38829.0
119,11232,116,BROOKLYN,BROOKLYN,28137.0
120,11233,394,BROOKLYN,BROOKLYN,83125.0
121,11234,89,BROOKLYN,BROOKLYN,89976.0
122,11235,215,BROOKLYN,BROOKLYN,83069.0
123,11236,119,BROOKLYN,BROOKLYN,100082.0
124,11237,618,BROOKLYN,BROOKLYN,47183.0
125,11238,549,BROOKLYN,BROOKLYN,58047.0
126,11239,20,BROOKLYN,BROOKLYN,16808.0
127,11249,168,BROOKLYN,BROOKLYN,45087.0
128,11354,63,FLUSHING,QUEENS,53371.0
129,11355,154,FLUSHING,QUEENS,79495.0
130,11356,11,COLLEGE POINT,QUEENS,27632.0
131,11357,61,WHITESTONE,QUEENS,42792.0
132,11358,37,FLUSHING,QUEENS,37647.0
133,11360,8,BAYSIDE,QUEENS,19719.0
134,11361,34,BAYSIDE,QUEENS,29544.0
135,11362,4,LITTLE NECK,QUEENS,18426.0
136,11363,7,LITTLE NECK,QUEENS,7365.0
137,11364,15,OAKLAND GARDENS,QUEENS,38124.0
138,11365,14,FRESH MEADOWS,QUEENS,46424.0
139,11366,4,FRESH MEADOWS,QUEENS,13659.0
140,11367,60,FLUSHING,QUEENS,43286.0
141,11368,167,CORONA,QUEENS,112750.0
142,11369,63,EAST ELMHURST,QUEENS,32177.0
143,11370,34,EAST ELMHURST,QUEENS,28164.0
144,11372,101,JACKSON HEIGHTS,QUEENS,67001.0
145,11373,114,ELMHURST,QUEENS,102618.0
146,11374,106,REGO PARK,QUEENS,47230.0
147,11375,126,QUEENS,QUEENS,75212.0
148,11377,242,WOODSIDE,QUEENS,86977.0
149,11378,98,MASPETH,QUEENS,39250.0
150,11379,107,MIDDLE VILLAGE,QUEENS,38261.0
151,11385,534,RIDGEWOOD,QUEENS,105521.0
152,11411,9,CAMBRIA HEIGHTS,QUEENS,21329.0
153,11412,42,SAINT ALBANS,QUEENS,40593.0
154,11413,31,SPRINGFIELD GARDENS,QUEENS,44832.0
155,11414,35,HOWARD BEACH,QUEENS,30374.0
156,11415,8,KEW GARDENS,QUEENS,20315.0
157,11416,53,OZONE PARK,QUEENS,27794.0
158,11417,66,OZONE PARK,QUEENS,31200.0
159,11418,57,RICHMOND HILL,QUEENS,38317.0
160,11419,46,SOUTH RICHMOND HILL,QUEENS,48096.0
161,11420,63,SOUTH OZONE PARK,QUEENS,51153.0
162,11421,21,WOODHAVEN,QUEENS,41552.0
163,11422,11,ROSEDALE,QUEENS,32296.0
164,11423,17,HOLLIS,QUEENS,29921.0
165,11426,22,BELLEROSE,QUEENS,19733.0
166,11427,31,QUEENS VILLAGE,QUEENS,25187.0
167,11428,8,QUEENS VILLAGE,QUEENS,19554.0
168,11429,19,QUEENS VILLAGE,QUEENS,27845.0
169,11430,1,JAMAICA,QUEENS,332.0
170,11432,65,JAMAICA,QUEENS,64268.0
171,11433,61,JAMAICA,QUEENS,38865.0
172,11434,38,JAMAICA,QUEENS,68182.0
173,11435,162,JAMAICA,QUEENS,59961.0
174,11436,31,JAMAICA,QUEENS,21349.0
175,11691,68,FAR ROCKAWAY,QUEENS,70365.0
176,11692,7,ARVERNE,QUEENS,24584.0
177,11693,3,FAR ROCKAWAY,QUEENS,13558.0
178,11694,12,FAR ROCKAWAY,QUEENS,21788.0
