,Incident Zip,Sightings,City,Borough,Population,NTA
0,10025,995,NEW YORK,MANHATTAN,96988,Upper West Side
1,11216,674,BROOKLYN,BROOKLYN,62373,Bedford
2,11226,627,BROOKLYN,BROOKLYN,101053,Flatbush
3,11221,624,BROOKLYN,BROOKLYN,91236,Stuyvesant Heights
4,11237,618,BROOKLYN,BROOKLYN,47183,Bushwick North
5,11238,549,BROOKLYN,BROOKLYN,58047,Crown Heights North
6,11385,534,RIDGEWOOD,QUEENS,105521,Glendale
7,10027,512,NEW YORK,MANHATTAN,65806,Morningside Heights
8,10024,511,NEW YORK,MANHATTAN,62774,Upper West Side
9,10026,506,NEW YORK,MANHATTAN,38265,Central Harlem South
10,11215,422,BROOKLYN,BROOKLYN,72014,Park Slope-Gowanus
11,11211,408,BROOKLYN,BROOKLYN,65511,North Side-South Side
12,11233,394,BROOKLYN,BROOKLYN,83125,Ocean Hill
13,11207,389,BROOKLYN,BROOKLYN,96801,East New York
14,11213,384,BROOKLYN,BROOKLYN,69131,Crown Heights North
15,11225,364,BROOKLYN,BROOKLYN,58476,Crown Heights South
16,10031,350,NEW YORK,MANHATTAN,61044,Hamilton Heights
17,11206,334,BROOKLYN,BROOKLYN,89949,Stuyvesant Heights
18,11220,327,BROOKLYN,BROOKLYN,93008,Bay Ridge
19,10029,327,NEW YORK,MANHATTAN,75614,East Harlem South
20,11218,315,BROOKLYN,BROOKLYN,73318,Flatbush
21,10467,312,BRONX,BRONX,98713,Norwood
22,10456,310,BRONX,BRONX,88575,Morrisania-Melrose
23,10458,283,BRONX,BRONX,82678,Fordham South
24,10463,282,BRONX,BRONX,70296,Van Cortlandt Village
25,11222,282,BROOKLYN,BROOKLYN,40137,
26,10452,276,BRONX,BRONX,78624,Highbridge
27,10009,269,NEW YORK,MANHATTAN,58418,Stuyvesant Town-Cooper Village
28,10472,267,BRONX,BRONX,65283,West Farms-Bronx River
29,11201,260,BROOKLYN,BROOKLYN,69755,Brooklyn Heights-Cobble Hill
30,11105,257,ASTORIA,QUEENS,38756,Steinway
31,10457,247,BRONX,BRONX,79817,East Tremont
32,11208,246,BROOKLYN,BROOKLYN,108180,
33,11205,244,BROOKLYN,BROOKLYN,50319,Fort Greene
34,10468,243,BRONX,BRONX,81397,Kingsbridge Heights
35,11377,242,WOODSIDE,QUEENS,86977,Woodside
36,11209,241,BROOKLYN,BROOKLYN,71812,Bay Ridge
37,11217,239,BROOKLYN,BROOKLYN,43045,Fort Greene
38,11203,228,BROOKLYN,BROOKLYN,78506,Prospect Lefferts Gardens-Wingate
39,10030,222,NEW YORK,MANHATTAN,31268,Central Harlem North-Polo Grounds
40,10003,221,NEW YORK,MANHATTAN,53877,East Village
